Passau Hbf
Obertrattnach-Markt Hofkirchen Bahnhof
Traun OÖ Bahnhof
Haiding Bahnhof
Kimpling Bahnhof
Kumpfmühl Bahnhof
Zell/Pram Bahnhof
Trento
Bolzano/Bozen
Bressanone/Brixen
Fortezza/Franzensfeste
Brennero/Brenner
Steinach am Brenner Bahnhst
Matrei am Brenner Bahnhof
Bolzano Sud/Bozen Süd
Merano/Meran
San Candido/Innichen
Weitlanbrunn Bahnhof
Sillian Bahnhof
Tassenbach Bahnhof
Abfaltersbach/Drau Bahnhof
Mittewald/Drau Bahnhof
Thal/Drau Bahnhof
Brunico/Bruneck
Brunico Nord/Bruneck Nord
Dobbiaco/Toblach
Kufstein Bahnhof
Großsierning Bahnhof
Markersdorf/Pielach Bahnhof
Säusenstein Bahnhof
Greinsfurth Bahnhof
Ulmerfeld-Hausmening Bahnhof
Kröllendorf Bahnhof
Hilm-Kematen Bahnhof
Rosenau am Sonntagberg Bahnhof
Sonntagberg NÖ Bahnhof
Böhlerwerk Bahnhof
Waidhofen/Ybbs Bahnhof
Waidhofen/Ybbs Stadt Bahnhof
Oberland OÖ Bahnhof
Gaflenz Bahnhof
Weyer/Enns Bahnhof
Kastenreith Bahnhof
Kleinreifling Bahnhof
Weißenbach-St.Gallen Bahnhof
Hieflau Bahnhof
Gstatterboden im Nationalpark Bahnhof
Johnsbach im Nationalpark Bahnhof
Admont Bahnhof
St.Egyden am Steinfeld Bahnhof
Neunkirchen NÖ Bahnhof
Ternitz Bahnhof
Pottschach Bahnhof
Gloggnitz Bahnhof
Schlöglmühl Bahnhof
Payerbach-Reichenau Bahnhof
Spital am Semmering Bahnhof
Steinhaus am Semmering Bahnhof
Breitenstein am Semmering Bahnhof
Klamm-Schottwien Bahnhof
Baden b.Wien Bahnhof
Wien Liesing Bahnhof
Kammern im Liesingtal Bahnhof
Mautern in Stmk Bahnhof
Kalwang Bahnhof
Wald am Schoberpass Bahnhof
Gaishorn am See Bahnhof
Hofstatt/Anzbach Bahnhof
Unteroberndorf Bahnhof
Rekawinkel Bahnhof
Dürrwien Bahnhof
Untertullnerbach Bahnhof
Unterpurkersdorf Bahnhof
Purkersdorf b.Wien Sanatorium Bahnhof
Wien Weidlingau Bahnhof
Wien Hadersdorf Bahnhof
Wien Wolf in der Au Bahnhof
Wien Penzing Bahnhof
Wien Handelskai (Bahnsteige 11-12)
Wien Heiligenstadt Bahnhof
Wien Oberdöbling Bahnhof
Wien Krottenbachstraße Bahnhof
Wien Gersthof Bahnhof
Wien Hernals Bahnhof
Wien Ottakring Bahnhof
Wien Breitensee Bahnhst
Ennsdorf Bahnhof
