stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
8100040,,Hallein Bahnhof,,47.6852750,13.0993240,,,0,,
8100041,,Golling-Abtenau Bahnhof,,47.6001950,13.1642900,,,0,,
8100042,,Bischofshofen Bahnhof,,47.4178720,13.2200540,,,0,,
8100043,,St.Johann im Pongau Bahnhof,,47.3481660,13.1948590,,,0,,
8100044,,Schwarzach-St.Veit Bahnhof,,47.3186230,13.1545180,,,0,,
8100045,,Lend/Salzach Bahnhof,,47.2974990,13.0554490,,,0,,
8100046,,Taxenbach-Rauris Bahnhof,,47.2927730,12.9473810,,,0,,
8100047,,Bruck-Fusch Bahnhof,,47.2846140,12.8288740,,,0,,
8100048,,Zell am See Bahnhof,,47.3205130,12.7965170,,,0,,
8100049,,Saalfelden Bahnhof,,47.4269030,12.8296480,,,0,,
8100050,,Maishofen-Saalbach Bahnhof,,47.3586660,12.8102500,,,0,,
8100051,,Leogang Bahnhof,,47.4434770,12.7401790,,,0,,
8100052,,Hochfilzen Bahnhof,,47.4673780,12.6266620,,,0,,
8100053,,Fieberbrunn Bahnhof,,47.4911650,12.5289830,,,0,,
8100054,,St.Johann in Tirol Bahnhof,,47.5196540,12.4307540,,,0,,
8100055,,Kitzbühel Bahnhof,,47.4540140,12.3910910,,,0,,
8100056,,Arnoldstein Bahnhof,,46.5514660,13.7076870,,,0,,
8100057,,Kirchberg in Tirol Bahnhof,,47.4488990,12.3090900,,,0,,
8100058,,Westendorf in Tirol Bahnhof,,47.4411630,12.2231260,,,0,,
8100059,,Hopfgarten im Brixental Bahnhof,,47.4553610,12.1491210,,,0,,
8100060,,Telfs-Pfaffenhofen Bahnhof,,47.3006650,11.0785820,,,0,,
8100061,,Ötztal Bahnhof,,47.2385580,10.8590740,,,0,,
8100062,,Imst-Pitztal Bahnhof,,47.2190910,10.7607200,,,0,,
8100063,,Landeck-Zams Bahnhof,,47.1482170,10.5785390,,,0,,
8100064,,St.Anton am Arlberg Bahnhof,,47.1274280,10.2672420,,,0,,
8100065,,Langen am Arlberg Bahnhof,,47.1315550,10.1217530,,,0,,
8100066,,Ludesch Bahnhof,,47.1802916,9.77123380,,,0,,
8100067,,Bludenz Bahnhof,,47.1547480,9.81475500,,,0,,
8100068,,Nenzing Bahnhof,,47.1916410,9.70807600,,,0,,
8100069,,Frastanz Bahnhof,,47.2200500,9.63899400,,,0,,
8100070,,Leoben Hbf,,47.3865670,15.0895300,,,0,,
8100071,,St.Michael in Oberstmk Bahnhof,,47.3467300,15.0091780,,,0,,
8100072,,Knittelfeld Bahnhof,,47.2152940,14.8376160,,,0,,
8100073,,Judenburg Bahnhof,,47.1747210,14.6599070,,,0,,
8100074,,Unzmarkt Bahnhof,,47.2011030,14.4423210,,,0,,
8100075,,Neumarkt in Stmk Bahnhof,,47.0734850,14.4149270,,,0,,
8100076,,Friesach in Ktn Bahnhof,,46.9537140,14.4102650,,,0,,
8100077,,Launsdorf-Hochosterwitz Bahnhof,,46.7688840,14.4556330,,,0,,
8100078,,St.Veit/Glan Bahnhof,,46.7701080,14.3670100,,,0,,
8100079,,Krumpendorf/Wörther See Bahnhof,,46.6263200,14.2214420,,,0,,
8100080,,Pörtschach/Wörther See Bahnhof,,46.6361970,14.1462860,,,0,,
8100081,,Velden/Wörther See Bahnhof,,46.6200160,14.0448340,,,0,,
8100082,,Spielfeld-Straß Bahnhof,,46.7095810,15.6291210,,,0,,
8100083,,Rosenbach b.Villach Bahnhof,,46.5308930,14.0354720,,,0,,
8100084,,Faak am See Bahnhof,,46.5643560,13.9133160,,,0,,
8100085,,Klagenfurt Hbf,,46.6156030,14.3135760,,,0,,
8100086,,Paternion-Feistritz Bahnhst,,46.7067932,13.6746740,,,0,,
