route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
6,000119,3494,Linz/Donau Hbf,R 4405,,3102,,1
3,000119,3495,Linz/Donau Hbf,REX 4405,,3102,,1
3,000181,3496,Stainach-Irdning Bahnhof,REX 4406,,3103,,1
3,000182,3497,Stainach-Irdning Bahnhof,REX 4406,,3104,,1
6,000183,3498,Linz/Donau Hbf,R 4407,,3105,,1
3,000118,3499,Linz/Donau Hbf,REX 4407,,3105,,1
6,000119,3500,Linz/Donau Hbf,R 4407,,3106,,1
3,000119,3501,Linz/Donau Hbf,REX 4407,,3106,,1
3,000130,3502,Stainach-Irdning Bahnhof,REX 4408,,3107,,1
3,000134,3503,Stainach-Irdning Bahnhof,REX 4408,,3108,,1
3,000184,3504,Linz/Donau Hbf,REX 4409,,3109,,1
3,000185,3505,Linz/Donau Hbf,REX 4409,,3109,,1
3,000132,3506,Linz/Donau Hbf,REX 4409,,3110,,1
3,000134,3507,Linz/Donau Hbf,REX 4409,,3110,,1
3,000119,3508,Linz/Donau Hbf,REX 4409,,3111,,1
3,000185,3509,Stainach-Irdning Bahnhof,REX 4410,,3112,,1
3,000181,3510,Stainach-Irdning Bahnhof,REX 4410,,3113,,1
3,000134,3511,Stainach-Irdning Bahnhof,REX 4410,,3114,,1
3,000182,3512,Stainach-Irdning Bahnhof,REX 4410,,3115,,1
3,000119,3513,Stainach-Irdning Bahnhof,REX 4410,,3116,,1
6,000183,3514,Linz/Donau Hbf,R 4411,,3117,,1
3,000180,3515,Linz/Donau Hbf,REX 4411,,3117,,1
6,000119,3516,Linz/Donau Hbf,R 4411,,3118,,1
3,000119,3517,Linz/Donau Hbf,REX 4411,,3118,,1
3,000183,3518,Obertraun Dachsteinhöhlen Bahnhof,REX 4412,,3119,,1
6,000183,3519,Obertraun Dachsteinhöhlen Bahnhof,R 4412,,3119,,1
3,000119,3520,Obertraun Dachsteinhöhlen Bahnhof,REX 4412,,3120,,1
6,000119,3521,Obertraun Dachsteinhöhlen Bahnhof,R 4412,,3120,,1
3,000184,3522,Linz/Donau Hbf,REX 4413,,3121,,1
3,000185,3523,Linz/Donau Hbf,REX 4413,,3121,,1
3,000132,3524,Linz/Donau Hbf,REX 4413,,3122,,1
3,000134,3525,Linz/Donau Hbf,REX 4413,,3122,,1
3,000119,3526,Linz/Donau Hbf,REX 4413,,3123,,1
3,000185,3527,Stainach-Irdning Bahnhof,REX 4414,,3124,,1
3,000181,3528,Stainach-Irdning Bahnhof,REX 4414,,3125,,1
3,000134,3529,Stainach-Irdning Bahnhof,REX 4414,,3126,,1
3,000182,3530,Stainach-Irdning Bahnhof,REX 4414,,3127,,1
3,000119,3531,Stainach-Irdning Bahnhof,REX 4414,,3128,,1
6,000183,3532,Linz/Donau Hbf,R 4415,,3129,,1
3,000180,3533,Linz/Donau Hbf,REX 4415,,3129,,1
6,000119,3534,Linz/Donau Hbf,R 4415,,3130,,1
3,000119,3535,Linz/Donau Hbf,REX 4415,,3130,,1
3,000183,3536,Obertraun Dachsteinhöhlen Bahnhof,REX 4416,,3131,,1
6,000183,3537,Obertraun Dachsteinhöhlen Bahnhof,R 4416,,3131,,1
3,000119,3538,Obertraun Dachsteinhöhlen Bahnhof,REX 4416,,3132,,1
6,000119,3539,Obertraun Dachsteinhöhlen Bahnhof,R 4416,,3132,,1
3,000130,3540,Stainach-Irdning Bahnhof,REX 4418,,3133,,1
3,000181,3541,Stainach-Irdning Bahnhof,REX 4418,,3134,,1
3,000134,3542,Stainach-Irdning Bahnhof,REX 4418,,3135,,1
3,000182,3543,Stainach-Irdning Bahnhof,REX 4418,,3136,,1
6,000020,3544,Linz/Donau Hbf,R 4419,,3137,,1
3,000020,3545,Linz/Donau Hbf,REX 4419,,3137,,1
3,000022,3546,Bad Aussee Bahnhof,REX 4420,,3138,,1
6,000022,3547,Bad Aussee Bahnhof,R 4420,,3138,,1
14,000022,3548,Bad Ischl Bahnhof,,,3139,,1
31,000022,3549,Bad Ischl Bahnhof,,,3139,,1
14,000021,3550,Bad Ischl Bahnhof,,,3140,,1
31,000021,3551,Bad Ischl Bahnhof,,,3140,,1
3,000021,3552,Bad Aussee Bahnhof,REX 4428,,3141,,1
6,000021,3553,Bad Aussee Bahnhof,R 4428,,3141,,1
5,000187,3554,Bregenz Bahnhof,NJ 446,,3142,,1
5,000147,3555,Bregenz Bahnhof,NJ 446,,3143,,1
5,000187,3556,Wien Hbf (Autoreisezuganlage),NJ 447,,3144,,1
5,000147,3557,Wien Hbf (Autoreisezuganlage),NJ 447,,3145,,1
6,000020,3558,Selzthal Bahnhof,R 4470,,3146,,1
6,000000,3559,St.Michael in Oberstmk Bahnhof,R 4471,,3147,,1
6,000000,3560,Schladming Bahnhof,R 4472,,3148,,1
6,000022,3561,St.Michael in Oberstmk Bahnhof,R 4473,,3149,,1
6,000021,3562,St.Michael in Oberstmk Bahnhof,R 4473,,3150,,1
6,000000,3563,Schladming Bahnhof,R 4474,,3151,,1
6,000000,3564,St.Michael in Oberstmk Bahnhof,R 4475,,3152,,1
6,000000,3565,Schladming Bahnhof,R 4476,,3153,,1
6,000000,3566,St.Michael in Oberstmk Bahnhof,R 4477,,3154,,1
6,000000,3567,Schladming Bahnhof,R 4478,,3155,,1
6,000000,3568,St.Michael in Oberstmk Bahnhof,R 4481,,3156,,1
6,000000,3569,Schladming Bahnhof,R 4482,,3157,,1
6,000000,3570,St.Michael in Oberstmk Bahnhof,R 4483,,3158,,1
6,000020,3571,Schladming Bahnhof,R 4484,,3159,,1
6,000000,3572,Radstadt Bahnhof,R 4486,,3160,,1
6,000105,3573,Radstadt Bahnhof,R 4486,,3160,,1
6,000000,3574,St.Michael in Oberstmk Bahnhof,R 4487,,3161,,1
6,000000,3575,Radstadt Bahnhof,R 4488,,3162,,1
6,000084,3576,Radstadt Bahnhof,R 4488,,3162,,1
6,000020,3577,Kapfenberg Bahnhof,R 4491,,3163,,1
16,000020,3578,Kapfenberg Bahnhof,,,3163,,1
10,000020,3579,Kapfenberg Bahnhof,,,3163,,1
6,000188,3580,Wolfsberg in Ktn Bahnhof,R 4500,,3164,,1
3,000022,3581,Klagenfurt Hbf,REX 4501,,3165,,1
6,000189,3582,Wolfsberg in Ktn Bahnhof,R 4502,,3166,,1
3,000153,3583,Klagenfurt Hbf,REX 4503,,3167,,1
8,000000,3584,Wolfsberg in Ktn Bahnhof,,,3168,,1
6,000189,3585,Klagenfurt Hbf,R 4505,,3169,,1
8,000020,3586,Wolfsberg in Ktn Bahnhof,,,3170,,1
3,000153,3587,Klagenfurt Hbf,REX 4507,,3171,,1
8,000020,3588,Wolfsberg in Ktn Bahnhof,,,3172,,1
3,000020,3589,Klagenfurt Hbf,REX 4509,,3173,,1
8,000020,3590,Wolfsberg in Ktn Bahnhof,,,3174,,1
8,000000,3591,Klagenfurt Hbf,,,3175,,1
8,000020,3592,Wolfsberg in Ktn Bahnhof,,,3176,,1
8,000020,3593,Klagenfurt Hbf,,,3177,,1
8,000020,3594,Wolfsberg in Ktn Bahnhof,,,3178,,1
8,000020,3595,Klagenfurt Hbf,,,3179,,1
8,000020,3596,Wolfsberg in Ktn Bahnhof,,,3180,,1
8,000020,3597,Klagenfurt Hbf,,,3181,,1
8,000020,3598,Wolfsberg in Ktn Bahnhof,,,3182,,1
8,000020,3599,Klagenfurt Hbf,,,3183,,1
8,000020,3600,Wolfsberg in Ktn Bahnhof,,,3184,,1
8,000020,3601,Klagenfurt Hbf,,,3185,,1
8,000020,3602,Wolfsberg in Ktn Bahnhof,,,3186,,1
8,000020,3603,Klagenfurt Hbf,,,3187,,1
8,000020,3604,Wolfsberg in Ktn Bahnhof,,,3188,,1
8,000020,3605,Klagenfurt Hbf,,,3189,,1
8,000020,3606,Wolfsberg in Ktn Bahnhof,,,3190,,1
8,000020,3607,Klagenfurt Hbf,,,3191,,1
8,000000,3608,Wolfsberg in Ktn Bahnhof,,,3192,,1
8,000020,3609,Klagenfurt Hbf,,,3193,,1
8,000020,3610,Wolfsberg in Ktn Bahnhof,,,3194,,1
8,000020,3611,Klagenfurt Hbf,,,3195,,1
8,000020,3612,Klagenfurt Hbf,,,3196,,1
8,000000,3613,Klagenfurt Hbf,,,3197,,1
8,000020,3614,Klagenfurt Hbf,,,3198,,1
16,000020,3615,Kapfenberg Bahnhof,,,3199,,1
10,000020,3616,Kapfenberg Bahnhof,,,3199,,1
16,000029,3617,Bruck/Mur Bahnhof,,,3200,,1
10,000020,3618,Scheifling in Stmk Bahnhof,,,3201,,1
16,000020,3619,Scheifling in Stmk Bahnhof,,,3201,,1
17,000020,3620,Scheifling in Stmk Bahnhof,,,3201,,1
16,000029,3621,Unzmarkt Bahnhof,,,3202,,1
16,000020,3622,Bruck/Mur Bahnhof,,,3203,,1
16,000020,3623,Unzmarkt Bahnhof,,,3204,,1
16,000022,3624,Bruck/Mur Bahnhof,,,3205,,1
16,000020,3625,Leoben Hbf,,,3206,,1
16,000020,3626,Kapfenberg Bahnhof,,,3207,,1
10,000020,3627,Kapfenberg Bahnhof,,,3207,,1
16,000000,3628,Unzmarkt Bahnhof,,,3208,,1
3,000020,3629,Mürzzuschlag Bahnhof,REX 4548,,3209,,1
10,000020,3630,Mürzzuschlag Bahnhof,,,3209,,1
10,000004,3631,Mürzzuschlag Bahnhof,,,3210,,1
10,000020,3632,Leoben Hbf,,,3211,,1
16,000020,3633,Leoben Hbf,,,3211,,1
10,000020,3634,Leoben Hbf,,,3212,,1
16,000020,3635,Leoben Hbf,,,3212,,1
10,000004,3636,Mürzzuschlag Bahnhof,,,3213,,1
16,000020,3637,Mürzzuschlag Bahnhof,,,3214,,1
10,000020,3638,Mürzzuschlag Bahnhof,,,3214,,1
16,000020,3639,Unzmarkt Bahnhof,,,3215,,1
10,000020,3640,Leoben Hbf,,,3216,,1
16,000020,3641,Leoben Hbf,,,3216,,1
16,000020,3642,Kapfenberg Bahnhof,,,3217,,1
10,000020,3643,Kapfenberg Bahnhof,,,3217,,1
10,000020,3644,Leoben Hbf,,,3218,,1
16,000020,3645,Leoben Hbf,,,3218,,1
16,000020,3646,Bruck/Mur Bahnhof,,,3219,,1
16,000020,3647,Kapfenberg Bahnhof,,,3220,,1
10,000020,3648,Kapfenberg Bahnhof,,,3220,,1
10,000020,3649,Leoben Hbf,,,3221,,1
16,000020,3650,Leoben Hbf,,,3221,,1
16,000020,3651,Kapfenberg Bahnhof,,,3222,,1
10,000020,3652,Kapfenberg Bahnhof,,,3222,,1
10,000020,3653,Unzmarkt Bahnhof,,,3223,,1
16,000020,3654,Unzmarkt Bahnhof,,,3223,,1
16,000020,3655,Bruck/Mur Bahnhof,,,3224,,1
16,000020,3656,Leoben Hbf,,,3225,,1
16,000020,3657,Kapfenberg Bahnhof,,,3226,,1
10,000020,3658,Kapfenberg Bahnhof,,,3226,,1
16,000020,3659,Unzmarkt Bahnhof,,,3227,,1
16,000020,3660,Kapfenberg Bahnhof,,,3228,,1
10,000020,3661,Kapfenberg Bahnhof,,,3228,,1
10,000020,3662,Leoben Hbf,,,3229,,1
16,000020,3663,Leoben Hbf,,,3229,,1
16,000020,3664,Bruck/Mur Bahnhof,,,3230,,1
3,000020,3665,Leoben Hbf,REX 4571,,3231,,1
16,000020,3666,Leoben Hbf,,,3231,,1
16,000020,3667,Mürzzuschlag Bahnhof,,,3232,,1
35,000020,3668,Mürzzuschlag Bahnhof,,,3232,,1
16,000020,3669,Unzmarkt Bahnhof,,,3233,,1
16,000020,3670,Mürzzuschlag Bahnhof,,,3234,,1
35,000020,3671,Mürzzuschlag Bahnhof,,,3234,,1
3,000020,3672,Leoben Hbf,REX 4575,,3235,,1
16,000020,3673,Leoben Hbf,,,3235,,1
16,000020,3674,Bruck/Mur Bahnhof,,,3236,,1
3,000020,3675,Leoben Hbf,REX 4577,,3237,,1
16,000020,3676,Leoben Hbf,,,3237,,1
16,000020,3677,Unzmarkt Bahnhof,,,3238,,1
16,000020,3678,Bruck/Mur Bahnhof,,,3239,,1
10,000020,3679,Leoben Hbf,,,3240,,1
16,000020,3680,Leoben Hbf,,,3240,,1
10,000020,3681,Leoben Hbf,,,3241,,1
16,000020,3682,Leoben Hbf,,,3241,,1
16,000020,3683,Kapfenberg Bahnhof,,,3242,,1
10,000020,3684,Kapfenberg Bahnhof,,,3242,,1
3,000000,3685,Unzmarkt Bahnhof,REX 4587,,3243,,1
16,000020,3686,Kapfenberg Bahnhof,,,3244,,1
10,000020,3687,Kapfenberg Bahnhof,,,3244,,1
16,000000,3688,Bruck/Mur Bahnhof,,,3245,,1
6,000020,3689,Unzmarkt Bahnhof,R 4592,,3246,,1
3,000045,3690,San Candido/Innichen,REX 4624,,3247,,1
3,000192,3691,San Candido/Innichen,REX 4624,,3247,,1
3,000192,3692,Lienz in Osttirol Bahnhof,REX 4625,,3248,,1
3,000193,3693,Lienz in Osttirol Bahnhof,REX 4627,,3249,,1
5,000147,3694,Zürich HB,NJ 466,,3250,,1
3,000194,3695,San Candido/Innichen,REX 4660,,3251,,1
3,000195,3696,San Candido/Innichen,REX 4662,,3252,,1
3,000196,3697,San Candido/Innichen,REX 4664,,3253,,1
3,000197,3698,San Candido/Innichen,REX 4666,,3254,,1
3,000198,3699,San Candido/Innichen,REX 4668,,3255,,1
8,000020,3700,Klagenfurt Hbf,,,3256,,1
8,000020,3701,Weizelsdorf Bahnhof,,,3257,,1
8,000020,3702,Klagenfurt Hbf,,,3258,,1
8,000020,3703,Weizelsdorf Bahnhof,,,3259,,1
8,000020,3704,Klagenfurt Hbf,,,3260,,1
8,000020,3705,Weizelsdorf Bahnhof,,,3261,,1
8,000020,3706,Klagenfurt Hbf,,,3262,,1
8,000020,3707,Weizelsdorf Bahnhof,,,3263,,1
8,000020,3708,Klagenfurt Hbf,,,3264,,1
8,000020,3709,Weizelsdorf Bahnhof,,,3265,,1
8,000020,3710,Klagenfurt Hbf,,,3266,,1
8,000020,3711,Weizelsdorf Bahnhof,,,3267,,1
8,000020,3712,Klagenfurt Hbf,,,3268,,1
8,000020,3713,Weizelsdorf Bahnhof,,,3269,,1
8,000020,3714,Klagenfurt Hbf,,,3270,,1
8,000020,3715,Weizelsdorf Bahnhof,,,3271,,1
8,000020,3716,Klagenfurt Hbf,,,3272,,1
8,000020,3717,Weizelsdorf Bahnhof,,,3273,,1
8,000020,3718,Klagenfurt Hbf,,,3274,,1
8,000020,3719,Weizelsdorf Bahnhof,,,3275,,1
8,000020,3720,Klagenfurt Hbf,,,3276,,1
8,000020,3721,Weizelsdorf Bahnhof,,,3277,,1
8,000020,3722,Klagenfurt Hbf,,,3278,,1
8,000020,3723,Weizelsdorf Bahnhof,,,3279,,1
8,000020,3724,Klagenfurt Hbf,,,3280,,1
8,000020,3725,Weizelsdorf Bahnhof,,,3281,,1
8,000020,3726,Klagenfurt Hbf,,,3282,,1
6,000021,3727,Graz Hbf,R 4707,,3283,,1
8,000021,3728,Graz Hbf,,,3283,,1
8,000020,3729,Graz Hbf,,,3284,,1
8,000004,3730,Fehring Bahnhof,,,3285,,1
8,000020,3731,Fehring Bahnhof,,,3286,,1
8,000004,3732,Graz Hbf,,,3287,,1
8,000020,3733,Fehring Bahnhof,,,3288,,1
8,000020,3734,Fehring Bahnhof,,,3289,,1
8,000000,3735,Graz Hbf,,,3290,,1
8,000000,3736,Fehring Bahnhof,,,3291,,1
8,000004,3737,Graz Hbf,,,3292,,1
8,000022,3738,Fehring Bahnhof,,,3293,,1
8,000081,3739,Graz Hbf,,,3294,,1
8,000000,3740,Fehring Bahnhof,,,3295,,1
8,000022,3741,Fehring Bahnhof,,,3296,,1
8,000020,3742,Graz Hbf,,,3297,,1
8,000000,3743,Fehring Bahnhof,,,3298,,1
8,000029,3744,Graz Hbf,,,3299,,1
3,000020,3745,Fehring Bahnhof,REX 4780,,3300,,1
3,000020,3746,Graz Hbf,REX 4781,,3301,,1
3,000020,3747,Graz Hbf,REX 4783,,3302,,1
3,000020,3748,Fehring Bahnhof,REX 4784,,3303,,1
3,000020,3749,Graz Hbf,REX 4785,,3304,,1
