service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
000104,0,0,0,0,0,0,0,20191215,20201212
000105,0,0,0,0,0,0,0,20191215,20201212
000108,0,0,0,0,0,0,0,20191215,20201212
000109,0,0,0,0,0,0,0,20191215,20201212
000111,0,0,0,0,0,0,0,20191215,20201212
000112,0,0,0,0,0,0,0,20191215,20201212
000114,0,0,0,0,0,0,0,20191215,20201212
000117,0,0,0,0,0,0,0,20191215,20201212
000118,0,0,0,0,0,0,0,20191215,20201212
000119,0,0,0,0,0,0,0,20191215,20201212
000120,0,0,0,0,0,0,0,20191215,20201212
000124,0,0,0,0,0,0,0,20191215,20201212
000125,0,0,0,0,0,0,0,20191215,20201212
000127,0,0,0,0,0,0,0,20191215,20201212
000128,0,0,0,0,0,0,0,20191215,20201212
000130,0,0,0,0,0,0,0,20191215,20201212
000131,0,0,0,0,0,0,0,20191215,20201212
000132,0,0,0,0,0,0,0,20191215,20201212
000134,0,0,0,0,0,0,0,20191215,20201212
000135,0,0,0,0,0,0,0,20191215,20201212
000140,0,0,0,0,0,0,0,20191215,20201212
000141,0,0,0,0,0,0,0,20191215,20201212
000142,0,0,0,0,0,0,0,20191215,20201212
000143,0,0,0,0,0,0,0,20191215,20201212
000144,0,0,0,0,0,0,0,20191215,20201212
000145,0,0,0,0,0,0,0,20191215,20201212
000146,0,0,0,0,0,0,0,20191215,20201212
000147,0,0,0,0,0,0,0,20191215,20201212
000148,0,0,0,0,0,0,0,20191215,20201212
000149,0,0,0,0,0,0,0,20191215,20201212
000153,0,0,0,0,0,0,0,20191215,20201212
000163,0,0,0,0,0,0,0,20191215,20201212
000165,0,0,0,0,0,0,0,20191215,20201212
000167,0,0,0,0,0,0,0,20191215,20201212
000172,0,0,0,0,0,0,0,20191215,20201212
000173,0,0,0,0,0,0,0,20191215,20201212
000175,0,0,0,0,0,0,0,20191215,20201212
000178,0,0,0,0,0,0,0,20191215,20201212
000180,0,0,0,0,0,0,0,20191215,20201212
000181,0,0,0,0,0,0,0,20191215,20201212
000182,0,0,0,0,0,0,0,20191215,20201212
000183,0,0,0,0,0,0,0,20191215,20201212
000184,0,0,0,0,0,0,0,20191215,20201212
000185,0,0,0,0,0,0,0,20191215,20201212
000187,0,0,0,0,0,0,0,20191215,20201212
000188,0,0,0,0,0,0,0,20191215,20201212
000189,0,0,0,0,0,0,0,20191215,20201212
000192,0,0,0,0,0,0,0,20191215,20201212
000193,0,0,0,0,0,0,0,20191215,20201212
000194,0,0,0,0,0,0,0,20191215,20201212
000195,0,0,0,0,0,0,0,20191215,20201212
000196,0,0,0,0,0,0,0,20191215,20201212
000197,0,0,0,0,0,0,0,20191215,20201212
000198,0,0,0,0,0,0,0,20191215,20201212
000199,0,0,0,0,0,0,0,20191215,20201212
000200,0,0,0,0,0,0,0,20191215,20201212
000201,0,0,0,0,0,0,0,20191215,20201212
000202,0,0,0,0,0,0,0,20191215,20201212
000204,0,0,0,0,0,0,0,20191215,20201212
000205,0,0,0,0,0,0,0,20191215,20201212
000206,0,0,0,0,0,0,0,20191215,20201212
000207,0,0,0,0,0,0,0,20191215,20201212
000208,0,0,0,0,0,0,0,20191215,20201212
000209,0,0,0,0,0,0,0,20191215,20201212
000210,0,0,0,0,0,0,0,20191215,20201212
000211,0,0,0,0,0,0,0,20191215,20201212
000212,0,0,0,0,0,0,0,20191215,20201212
000213,0,0,0,0,0,0,0,20191215,20201212
000214,0,0,0,0,0,0,0,20191215,20201212
000215,0,0,0,0,0,0,0,20191215,20201212
